title,year,id_jp,url_allo,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
celebrity,1998,08f03463514858db2f8ec082322262e9,https://www.allocine.fr/film/fichefilm_gen_cfilm=16090.html,woody allen,etatsunis,6600,comedie,-1,295558,-1,2,738102,267,4.1,2.8,"[""Leonardo DiCaprio"", ""Winona Ryder"", ""Charlize Theron"", ""Kenneth Branagh""]",12000000,"[""anglais""]",96483,0
true lies,1994,0986ef18c89ede253fd862c4e0389d50,https://www.allocine.fr/film/fichefilm_gen_cfilm=10644.html,james cameron,etatsunis,8640,aventure action,-1,590566,-1,1,1891086,462,-1,3.4,"[""Arnold Schwarzenegger"", ""Jamie Lee Curtis"", ""Bill Paxton"", ""Tom Arnold""]",100000000,"[""arabic"", ""anglais"", ""francais"", ""allemand""]",85850,1
mes doubles ma femme et moi,1996,098e8b36fdd70c5764e4c2d37060ce98,https://www.allocine.fr/film/fichefilm_gen_cfilm=15281.html,harold ramis,etatsunis,6600,comedie,-1,129718,-1,4,387330,180,-1,2.9,"[""Michael Keaton"", ""Andie MacDowell"", ""Harris Yulin"", ""Richard Masur""]",-1,"[""anglais""]",-1,0
mort subite,1995,0a1ebb8971b7c20ce6e919d58aceec0b,https://www.allocine.fr/film/fichefilm_gen_cfilm=14525.html,peter hyams,etatsunis,6600,aventure action,-1,175545,-1,3,305005,272,-1,2.3,"[""Jean-Claude Van Damme"", ""Powers Boothe"", ""Raymond J. Barry"", ""Ross Malinger""]",35000000,"[""anglais""]",-1,0
le droit de tuer,1996,0a48506673e25423c40347bd21f509e8,https://www.allocine.fr/film/fichefilm_gen_cfilm=15283.html,joel schumacher,etatsunis,8940,thriller,-1,116014,-1,6,262886,145,-1,3.6,"[""Matthew McConaughey"", ""Sandra Bullock"", ""Samuel L. Jackson"", ""Kevin Spacey""]",40000000,"[""anglais""]",90875,0
victor,2009,0a7f0fe0a5c83a53e7f265d5cc455e94,https://www.allocine.fr/film/fichefilm_gen_cfilm=139043.html,thomas gilou,france,5700,comedie,13410,99045,82355,7,147315,309,2.4,1.7,"[""Pierre Richard"", ""Lambert Wilson"", ""Clémentine Célarié"", ""Antoine Duléry""]",-1,"[""francais""]",120646,0
hommes femmes mode demploi,1996,0b451ab98c107ec74d245add3e83b53c,https://www.allocine.fr/film/fichefilm_gen_cfilm=15265.html,claude lelouch,france,7320,drame,-1,525048,-1,2,1266030,390,-1,3,"[""Pierre Arditi"", ""Fabrice Luchini"", ""Caroline Cellier"", ""Alessandra Martines""]",8000000,"[""francais""]",89132,0
les apprentis,1995,0b8e66ed74d6d76306df5006979f1523,https://www.allocine.fr/film/fichefilm_gen_cfilm=12839.html,pierre salvadori,france,5700,comedie,-1,45081,-1,10,599328,48,-1,3.5,"[""François Cluzet"", ""Guillaume Depardieu"", ""Judith Henry"", ""Claire Laroche""]",2450000,"[""francais""]",85750,1
le mariage de mon meilleur ami,1997,0b9e2d77b6b939c4628c8803e94d8abf,https://www.allocine.fr/film/fichefilm_gen_cfilm=10439.html,pj hogan,etatsunis,6300,romance,76290,558871,454359,1,2201013,314,2.5,2.8,"[""Julia Roberts"", ""Dermot Mulroney"", ""Cameron Diaz"", ""Rupert Everett""]",46000000,"[""anglais""]",92441,0
lile aux pirates,1995,0cb1e2dffdd259271c4a5b6b01a53030,https://www.allocine.fr/film/fichefilm_gen_cfilm=14015.html,renny harlin,etatsunis,7380,aventure action,-1,112750,-1,7,250109,257,-1,2.8,"[""Geena Davis"", ""Matthew Modine"", ""Frank Langella"", ""Maury Chaykin""]",-1,"[""anglais""]",-1,0
le sourire,1994,0f888f0aa8658e3ff75b9917af33e045,https://www.allocine.fr/film/fichefilm_gen_cfilm=10502.html,claude miller,france,5100,comedie,-1,67647,-1,7,179376,104,-1,2.4,"[""Jeanne Savary"", ""Richard Bohringer"", ""Jean-Pierre Marielle"", ""Emmanuelle Seigner""]",-1,"[""francais""]",82257,0
rush hour,1998,0fb77cf49f5914e19855854cb704cea8,https://www.allocine.fr/film/fichefilm_gen_cfilm=15067.html,brett ratner,etatsunis,5700,aventure action,-1,428156,-1,1,1245904,489,3.4,3.1,"[""Jackie Chan"", ""Chris Tucker"", ""Tom Wilkinson"", ""Elizabeth Peña""]",35000000,"[""cantonais"", ""anglais"", ""japonais""]",95878,0
les rivieres pourpres,2000,0fefcc404dfc236332902df7b54cbf8f,https://www.allocine.fr/film/fichefilm_gen_cfilm=1325.html,mathieu kassovitz,france,6300,thriller,147903,972609,817733,1,3255184,548,3.1,3.3,"[""Jean Reno"", ""Vincent Cassel"", ""Dominique Sanda"", ""Karim Belkhadra""]",1606000000,"[""francais""]",97248,0
star trek,2009,0ff5bfc11adb227efe9b1868db8b80b5,https://www.allocine.fr/film/fichefilm_gen_cfilm=114887.html,jj abrams,etatsunis,7680,science fiction,59970,433725,373818,2,821717,493,3.8,3.9,"[""Chris Pine"", ""Zachary Quinto"", ""Eric Bana"", ""Simon Pegg""]",150000000,"[""anglais""]",122812,1
thor,2011,10b4c11b684f3d015c2f26f0b648d386,https://www.allocine.fr/film/fichefilm_gen_cfilm=129477.html,kenneth branagh,etatsunis,6840,comicbook,149381,895181,781303,1,1714453,608,3,3.4,"[""Chris Hemsworth"", ""Natalie Portman"", ""Anthony Hopkins"", ""Tom Hiddleston""]",150000000,"[""anglais""]",129383,0
la famille pierrafeu,1994,110ba442ca5f725b6f0e620eeb6729b2,https://www.allocine.fr/film/fichefilm_gen_cfilm=10447.html,brian levant,etatsunis,5460,film familial,-1,165655,-1,2,656120,265,-1,1.8,"[""John Goodman"", ""Kyle MacLachlan"", ""Elizabeth Perkins"", ""Rick Moranis""]",45000000,"[""anglais""]",85586,0
lhomme qui voulait vivre sa vie,2010,1158d0aa4a6a942da72625c0a0a8d077,https://www.allocine.fr/film/fichefilm_gen_cfilm=172762.html,eric lartigau,france,6900,thriller,60460,454568,378782,2,1196015,350,3.8,3.2,"[""Romain Duris"", ""Marina Foïs"", ""Catherine Deneuve"", ""Niels Arestrup""]",-1,"[""francais""]",-1,0
tresor,2009,11754b478c19ce2fcd32c2933fbc2a85,https://www.allocine.fr/film/fichefilm_gen_cfilm=141612.html,claude berri,france,5100,comedie,103227,347912,305042,2,655437,437,2.2,1.4,"[""Mathilde Seigner"", ""Alain Chabat"", ""Fanny Ardant"", ""Isabelle Nanty""]",-1,"[""francais""]",120894,0
ennemis rapproches,1997,11ac1643c019b41574afea8a84cbda2e,https://www.allocine.fr/film/fichefilm_gen_cfilm=13551.html,alan j pakula,etatsunis,6660,thriller,-1,471679,-1,2,1288360,411,-1,3.1,"[""Harrison Ford"", ""Treat Williams"", ""Brad Pitt"", ""Margaret Colin""]",80000000,"[""anglais""]",91480,0
iron man 2,2010,121168e96d0211dd05a7f1ca71ca2ef6,https://www.allocine.fr/film/fichefilm_gen_cfilm=136190.html,jon favreau,etatsunis,7500,comicbook,204491,1216314,1092774,1,2575265,722,3.1,3.4,"[""Robert Downey Jr."", ""Don Cheadle"", ""Scarlett Johansson"", ""Mickey Rourke""]",200000000,"[""anglais"", ""francais"", ""russe""]",125467,0
les orphelins de huang shui,2008,12b483d362d8ec45993248841bbd5dd8,https://www.allocine.fr/film/fichefilm_gen_cfilm=123255.html,roger spottiswoode,etatsunis,6840,guerre,2688,30753,23179,15,46901,94,2.5,3.5,"[""Jonathan Rhys-Meyers"", ""Michelle Yeoh"", ""Radha Mitchell"", ""Chow Yun-Fat""]",40000000,"[""cantonais"", ""anglais""]",-1,0
public enemies,2009,136e2464f14dcdf58af15baac41fb949,https://www.allocine.fr/film/fichefilm_gen_cfilm=128515.html,michael mann,etatsunis,8580,thriller,108543,593398,453216,2,1537488,471,3.8,3.4,"[""Johnny Depp"", ""Christian Bale"", ""Marion Cotillard"", ""Channing Tatum""]",80000000,"[""anglais""]",123394,0
meurtre en suspens,1995,139a67541f36505d95e764afa46e0026,https://www.allocine.fr/film/fichefilm_gen_cfilm=14927.html,john badham,etatsunis,5400,thriller,-1,261958,-1,5,437221,113,-1,2.7,"[""Johnny Depp"", ""Christopher Walken"", ""Peter Strauss"", ""Charles S. Dutton""]",-1,"[""anglais""]",-1,0
mr peabody et sherman les voyages dans le temps,2014,13f7895959f38a5fed26dc576f292a6e,https://www.allocine.fr/film/fichefilm_gen_cfilm=119412.html,rob minkoff,etatsunis,4980,animation,50770,285232,231043,3,1415690,474,3.5,3.7,[],-1,"[""anglais""]",138870,0
kiss of death,1995,15b3f2dc09ba1e08868fb157eb075550,https://www.allocine.fr/film/fichefilm_gen_cfilm=12510.html,barbet schroeder,etatsunis,6000,thriller,-1,103461,-1,3,299824,128,-1,2.7,"[""David Caruso"", ""Samuel L. Jackson"", ""Nicolas Cage"", ""Helen Hunt""]",-1,"[""anglais"", ""allemand""]",87314,0
copains pour toujours,2010,16eddbe3de64352f42d1b66ee82bf793,https://www.allocine.fr/film/fichefilm_gen_cfilm=103306.html,dennis dugan,etatsunis,5700,comedie,14209,106408,90512,7,274284,187,1.4,2.7,"[""Adam Sandler"", ""Kevin James"", ""Chris Rock"", ""David Spade""]",-1,"[""anglais""]",125763,1
hot fuzz,2007,1792cdf3a7c5b3c117c9bf38591e1001,https://www.allocine.fr/film/fichefilm_gen_cfilm=108917.html,edgar wright,grandebretagne,7200,comedie,15711,101302,38320,5,166744,149,3.6,3.9,"[""Simon Pegg"", ""Martin Freeman"", ""Bill Nighy"", ""Nick Frost""]",8000000,"[""anglais""]",118328,0
minuit a paris,2011,1884ac1e23ca284ac8dc1beeab402628,https://www.allocine.fr/film/fichefilm_gen_cfilm=178300.html,woody allen,etatsunis,5640,romance,43294,545601,435462,2,1739215,406,4.2,3.7,"[""Owen Wilson"", ""Rachel McAdams"", ""Michael Sheen"", ""Marion Cotillard""]",-1,"[""anglais""]",129803,3
le diner de cons,1998,19246c168e30fcd9d052d36c1bd120ae,https://www.allocine.fr/film/fichefilm_gen_cfilm=16731.html,francis veber,france,4800,comedie,165932,1157996,911008,1,9247001,404,-1,4.2,"[""Thierry Lhermitte"", ""Jacques Villeret"", ""Francis Huster"", ""Daniel Prévost""]",1250000000,"[""""]",83345,5
assassins,1995,197dfdc3e9d897330aa93c12168e2fc2,https://www.allocine.fr/film/fichefilm_gen_cfilm=13332.html,richard donner,etatsunis,8100,thriller,-1,232590,-1,4,504354,-1,-1,2.7,"[""Sylvester Stallone"", ""Antonio Banderas"", ""Julianne Moore"", ""Steve Kahan""]",50000000,"[""anglais""]",88213,0
sphere,1998,1992d5de39017f1386669e17c1e66cd4,https://www.allocine.fr/film/fichefilm_gen_cfilm=16650.html,barry levinson,etatsunis,7980,science fiction,-1,299471,-1,3,663845,374,-1,2.4,"[""Dustin Hoffman"", ""Sharon Stone"", ""Samuel L. Jackson"", ""Peter Coyote""]",-1,"[""anglais""]",94259,0
desperado,1995,19eef06f9c351a8fdc78495bc0a5e7c1,https://www.allocine.fr/film/fichefilm_gen_cfilm=13019.html,robert rodriguez,etatsunis,6420,aventure action,28093,170237,141366,3,420101,201,-1,3.4,"[""Antonio Banderas"", ""Salma Hayek"", ""Steve Buscemi"", ""Joaquim de Almeida""]",-1,"[""anglais"", ""espagnol""]",88248,0
anonymous,2011,1a2cf5b74db5f5429652208f894069b7,https://www.allocine.fr/film/fichefilm_gen_cfilm=178493.html,roland emmerich,etatsunis,7800,thriller,3501,35874,28245,20,38732,122,3,3.3,"[""Rhys Ifans"", ""Vanessa Redgrave"", ""Joely Richardson"", ""David Thewlis""]",30000000,"[""anglais"", ""francais"", ""grec"", ""italien""]",131693,0
la princesse de montpensier,2010,1a3b3a239430e167604841b7fe887aa6,https://www.allocine.fr/film/fichefilm_gen_cfilm=136359.html,bertrand tavernier,france,8340,comedie dramatique,42383,290136,233676,3,747990,350,3.4,3.1,"[""Mélanie Thierry"", ""Lambert Wilson"", ""Grégoire Leprince-Ringuet"", ""Gaspard Ulliel""]",-1,"[""francais"", ""allemand""]",115106,1
my blueberry nights,2007,1a984b39cbf1b2528139001c947a814c,https://www.allocine.fr/film/fichefilm_gen_cfilm=111805.html,wong karwai,france,5640,comedie dramatique,20169,150199,121737,6,343312,229,2.8,3.3,"[""Norah Jones"", ""Jude Law"", ""Rachel Weisz"", ""Natalie Portman""]",10000000,"[""anglais""]",115997,0
the queen,2006,1b5d8a41690aa7431254e6b614e5717c,https://www.allocine.fr/film/fichefilm_gen_cfilm=109086.html,stephen frears,grandebretagne,5820,drame,37583,308469,252212,3,929194,212,4,3.5,"[""Helen Mirren"", ""James Cromwell"", ""Alex Jennings"", ""Gray O&#039;Brien""]",11000000,"[""anglais""]",113827,13
le royaume interdit,2008,1b9bd98ca2ccb1f656d5ea35a8413915,https://www.allocine.fr/film/fichefilm_gen_cfilm=123392.html,rob minkoff,etatsunis,6780,aventure action,17988,108439,98609,5,217844,175,2.5,2.8,"[""Jet Li"", ""Jackie Chan"", ""Collin Chou"", ""Michael Angarano""]",70000000,"[""anglais"", ""mandarin""]",-1,0
crazy night,2010,1ba4c50ee38a54d1d7a40df070f53620,https://www.allocine.fr/film/fichefilm_gen_cfilm=138726.html,shawn levy,etatsunis,5280,comedie,40000,254856,224746,6,461816,330,3.1,2.6,"[""Steve Carell"", ""Tina Fey"", ""Mark Wahlberg"", ""Taraji P. Henson""]",55000000,"[""anglais"", ""hebreu""]",125883,0
ensemble cest tout,2007,1ce9407d9cc631ac6dbae26e2634ed71,https://www.allocine.fr/film/fichefilm_gen_cfilm=109636.html,claude berri,france,5820,romance,82585,657191,548185,2,2312431,389,3.3,3.4,"[""Audrey Tautou"", ""Guillaume Canet"", ""Laurent Stocker"", ""Françoise Bertin""]",-1,"[""francais""]",114297,6
babe le cochon dans la ville,1998,1d4039ccdeaedae6121e8ef94749b2e1,https://www.allocine.fr/film/fichefilm_gen_cfilm=12265.html,george miller,australie,5760,film familial,16940,126320,113297,9,487129,334,3.7,2.1,"[""James Cromwell"", ""Magda Szubanski"", ""Mary Stein""]",80000000,"[""anglais""]",-1,0
clones,2009,1d4bc1a51aff41b44c6e79f8d696bc8a,https://www.allocine.fr/film/fichefilm_gen_cfilm=127136.html,jonathan mostow,etatsunis,5100,science fiction,89571,508980,414656,5,1021427,301,2.7,2.6,"[""Bruce Willis"", ""Radha Mitchell"", ""Rosamund Pike"", ""Boris Kodjoe""]",80000000,"[""anglais""]",124381,0
john carter,2012,1dad5e24ba1c2834163971e17c2667ef,https://www.allocine.fr/film/fichefilm_gen_cfilm=137263.html,andrew stanton,etatsunis,8400,science fiction,66583,475960,427676,2,1021013,506,3.1,3.2,"[""Taylor Kitsch"", ""Lynn Collins"", ""Samantha Morton"", ""Willem Dafoe""]",250000000,"[""anglais""]",132838,0
date limite,2010,1fdab02d8bfca82a2d04f34b0acae34e,https://www.allocine.fr/film/fichefilm_gen_cfilm=169922.html,todd phillips,etatsunis,5700,comedie,61528,418659,377888,3,786360,385,3.1,3.3,"[""Robert Downey Jr."", ""Zach Galifianakis"", ""Michelle Monaghan"", ""Jamie Foxx""]",-1,"[""anglais"", ""espagnol""]",127849,0
entretien avec un vampire,1994,205281a44d7acc19e68a91a0b318eeca,https://www.allocine.fr/film/fichefilm_gen_cfilm=11234.html,neil jordan,etatsunis,7380,aventure action,-1,495935,-1,3,1636853,319,3.2,4,"[""Tom Cruise"", ""Brad Pitt"", ""Stephen Rea"", ""Kirsten Dunst""]",50000000,"[""anglais""]",86994,3
elisa,1995,2098980574f5d6b27ed7e7ee42e3626d,https://www.allocine.fr/film/fichefilm_gen_cfilm=11477.html,jean becker,france,6900,drame,-1,563314,-1,2,2473193,254,-1,2.9,"[""Vanessa Paradis"", ""Gérard Depardieu"", ""Clotilde Courau"", ""Sekkou Sall""]",11160000,"[""francais""]",85194,2
raison et sentiments,1995,20a5af0e6484d5160243e311f660adaa,https://www.allocine.fr/film/fichefilm_gen_cfilm=14083.html,ang lee,etatsunis,8100,drame,-1,175391,-1,6,946655,-1,-1,3.8,"[""Emma Thompson"", ""Kate Winslet"", ""Hugh Grant"", ""Alan Rickman""]",16500000,"[""anglais"", ""francais""]",89440,6
les ailes de lenfer,1997,20d3d447dafa465cc6e19e7bf0396d8f,https://www.allocine.fr/film/fichefilm_gen_cfilm=10555.html,simon west,etatsunis,6600,aventure action,-1,445465,-1,3,1010131,500,-1,3.2,"[""Nicolas Cage"", ""John Malkovich"", ""John Cusack"", ""Rachel Ticotin""]",75000000,"[""anglais""]",-1,0
coups de feu sur broadway,1994,21b41f4cd784f44b0e426b8be96070ff,https://www.allocine.fr/film/fichefilm_gen_cfilm=11327.html,woody allen,etatsunis,5940,comedie,-1,230899,-1,4,1022313,158,-1,3.6,"[""John Cusack"", ""Dianne Wiest"", ""Rob Reiner"", ""Jennifer Tilly""]",20000000,"[""anglais""]",87223,2
w limprobable president,2008,223be189b7b622957d30e6270ab83641,https://www.allocine.fr/film/fichefilm_gen_cfilm=133758.html,oliver stone,etatsunis,7740,drame,19285,110741,91695,9,163677,245,2.6,2.4,"[""Josh Brolin"", ""James Cromwell"", ""Ellen Burstyn"", ""Elizabeth Banks""]",-1,"[""anglais"", ""espagnol""]",121846,0
que justice soit faite,2009,2271d3982674f373707ed57e8fc50cb7,https://www.allocine.fr/film/fichefilm_gen_cfilm=134690.html,f gary gray,etatsunis,6480,thriller,8784,64020,43578,16,235213,125,1.9,3.8,"[""Gerard Butler"", ""Jamie Foxx"", ""Leslie Bibb"", ""Colm Meaney""]",40000000,"[""anglais""]",-1,0
elle sappelait sarah,2010,2606a11999f540d272e946ef70d3d114,https://www.allocine.fr/film/fichefilm_gen_cfilm=171087.html,gilles paquetbrenner,france,6660,drame,31625,255461,201184,5,826891,325,3.3,4,"[""Kristin Scott Thomas"", ""Mélusine Mayance"", ""Niels Arestrup"", ""Frédéric Pierrot""]",10000000,"[""francais""]",123442,1
un tueur pour cible,1998,26802ec3b6388ea4dc9a6c4321f0adfa,https://www.allocine.fr/film/fichefilm_gen_cfilm=17618.html,antoine fuqua,etatsunis,5220,aventure action,-1,72867,-1,10,114175,159,-1,2.7,"[""Chow Yun-Fat"", ""Mira Sorvino"", ""Michael Rooker"", ""Jürgen Prochnow""]",30000000,"[""anglais""]",-1,0
the van,1996,26f3dcbd138af70ee7d8b416e7a4bb2d,https://www.allocine.fr/film/fichefilm_gen_cfilm=15245.html,stephen frears,irlande,6300,comedie,-1,70205,-1,8,309084,88,-1,3.1,"[""Colm Meaney"", ""Ger Ryan"", ""Caroline Rothwell"", ""Brendan O&#039;Carroll""]",-1,"[""anglais""]",90485,0
maverick,1994,272e1a9b49bbc37d4a712d7a2275efb8,https://www.allocine.fr/film/fichefilm_gen_cfilm=10491.html,richard donner,etatsunis,7620,western,-1,375899,-1,1,1425544,396,-1,3.5,"[""Mel Gibson"", ""Jodie Foster"", ""James Garner"", ""Alfred Molina""]",-1,"[""anglais"", ""allemand""]",86002,0
harry potter et les reliques de la mort partie 1,2010,27c9d2f71309d4a84df910edf1199507,https://www.allocine.fr/film/fichefilm_gen_cfilm=126693.html,david yates,etatsunis,9000,fantasy,435069,2537450,2295310,1,6016776,971,3.2,4,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Ralph Fiennes""]",150000000,"[""anglais""]",127998,2
sans identite,2011,286f4e8a9624281bb9df4cbe97894fcb,https://www.allocine.fr/film/fichefilm_gen_cfilm=170958.html,jaume colletserra,etatsunis,6540,thriller,60651,381577,321567,2,1003434,339,2.7,3.3,"[""Liam Neeson"", ""Diane Kruger"", ""January Jones"", ""Aidan Quinn""]",-1,"[""arabic"", ""anglais"", ""allemand"", ""turc""]",126246,0
chacun cherche son chat,1996,28a7d6f50fc564c41b2855e0d221163f,https://www.allocine.fr/film/fichefilm_gen_cfilm=14363.html,cedric klapisch,france,5760,comedie,-1,72617,-1,8,678995,52,-1,3.1,"[""Garance Clavel"", ""Zinedine Soualem"", ""Renée Le Calm"", ""Olivier Py""]",300000,"[""francais""]",88033,0
la fille sur le pont,1999,28b11cd2c884347bf059abcf90f3fd33,https://www.allocine.fr/film/fichefilm_gen_cfilm=10044.html,patrice leconte,france,5400,drame,-1,154881,-1,5,663390,198,3.4,3.6,"[""Vanessa Paradis"", ""Daniel Auteuil"", ""Claude Aufaure"", ""Nicola Donato""]",990000000,"[""francais""]",90876,1
speed,1994,28d8214dea9d5438eff8233d50b8e105,https://www.allocine.fr/film/fichefilm_gen_cfilm=10498.html,jan de bont,etatsunis,6960,aventure action,-1,711565,-1,1,2403508,418,-1,3.6,"[""Keanu Reeves"", ""Dennis Hopper"", ""Sandra Bullock"", ""Joe Morton""]",30000000,"[""anglais""]",85849,4
le jaguar,1996,292c392e61633aedec13dfb3993f6fba,https://www.allocine.fr/film/fichefilm_gen_cfilm=15407.html,francis veber,france,6000,aventure action,-1,593486,487394,2,2407696,491,-1,2.2,"[""Jean Reno"", ""Patrick Bruel"", ""Harrison Lowe"", ""Patricia Velasquez""]",17560000,"[""francais""]",83344,0
into the wild,2007,29ab3448e500aff4e3092b776155c230,https://www.allocine.fr/film/fichefilm_gen_cfilm=110101.html,sean penn,etatsunis,8400,aventure action,26148,292739,236253,1,1448136,172,3.9,4.3,"[""Emile Hirsch"", ""Marcia Gay Harden"", ""William Hurt"", ""Jena Malone""]",15000000,"[""anglais""]",119364,2
a nous quatre,1998,29dc1c09faf3bb662a827c9fabba9507,https://www.allocine.fr/film/fichefilm_gen_cfilm=10294.html,nancy meyers,etatsunis,7680,film familial,-1,68923,-1,11,233956,-1,3,3.3,"[""Natasha Richardson"", ""Lindsay Lohan"", ""Dennis Quaid"", ""Elaine Hendrix""]",-1,"[""anglais"", ""francais"", ""allemand""]",-1,0
apollo 13,1995,2a27126f341f1f17a4399c82228dc8b1,https://www.allocine.fr/film/fichefilm_gen_cfilm=13211.html,ron howard,etatsunis,8400,aventure action,86697,628414,543415,1,2082298,377,2.8,3.9,"[""Tom Hanks"", ""Bill Paxton"", ""Gary Sinise"", ""Ed Harris""]",62000000,"[""anglais""]",88421,4
burn after reading,2008,2aa42f72f02d620afe4200b1f95043c0,https://www.allocine.fr/film/fichefilm_gen_cfilm=122744.html,joel coen,etatsunis,5820,comedie,58709,444259,364928,3,1458345,475,3.7,3.3,"[""George Clooney"", ""Brad Pitt"", ""Frances McDormand"", ""John Malkovich""]",37000000,"[""anglais""]",121635,0
cars 2,2011,2aadcc0aa02bb82d0b0c6969641bd615,https://www.allocine.fr/film/fichefilm_gen_cfilm=135530.html,john lasseter,etatsunis,6780,animation,274650,1047200,863016,1,2975790,709,2.6,3.3,[],200000000,"[""anglais""]",130341,0
la princesse et la grenouille,2009,2c08d9bfeb58b6b63067ea5de6538e8b,https://www.allocine.fr/film/fichefilm_gen_cfilm=129003.html,ron clements,etatsunis,5700,animation,143954,876083,819261,1,3843786,667,3.5,3.8,[],105000000,"[""anglais""]",124917,3
my own love song,2010,2c1bd9a3355c6f33c7def0a1c25fc5e0,https://www.allocine.fr/film/fichefilm_gen_cfilm=134458.html,olivier dahan,etatsunis,6300,comedie dramatique,6287,37383,25501,18,55740,160,2.2,2.6,"[""Renée Zellweger"", ""Forest Whitaker"", ""Elias Koteas"", ""Madeline Zima""]",-1,"[""anglais""]",121859,0
solutions locales pour un desordre global,2010,2cbae0fb32e307988bdc45528a9b7fcb,https://www.allocine.fr/film/fichefilm_gen_cfilm=146945.html,coline serreau,france,7080,documentaire,4329,38166,28316,17,219746,73,3.3,4.1,"[""Dominique Guillet"", ""Vandana Shiva"", ""Ana Primavesi"", ""Philippe Desbrosses""]",-1,"[""anglais"", ""francais"", ""hindi"", ""portugais"", ""russe""]",122919,0
jeux de dupes,2008,2ce1ee3e5c0c3f41e559cea82b91c73b,https://www.allocine.fr/film/fichefilm_gen_cfilm=119568.html,george clooney,etatsunis,6840,comedie,11663,68461,53461,9,110710,148,2.7,2.5,"[""George Clooney"", ""Renée Zellweger"", ""John Krasinski"", ""Jonathan Pryce""]",-1,"[""anglais"", ""allemand""]",120044,0
